UNITID,FACSTAT,XSISTOTL,SISTOTL,XSISPROF,SISPROF,XSISASCP,SISASCP,XSISASTP,SISASTP,XSISINST,SISINST,XSISLECT,SISLECT,XSISNORK,SISNORK 
100654, 0,"R",243,"R",52,"R",69,"R",90,"R",32,"R",0,"R",0
100654,10,"R",243,"R",52,"R",69,"R",90,"R",32,"R",0,"R",0
100654,20,"R",110,"R",48,"R",46,"R",16,"R",0,"R",0,"R",0
100654,30,"R",47,"R",3,"R",13,"R",31,"R",0,"R",0,"R",0
100654,40,"R",86,"R",1,"R",10,"R",43,"R",32,"R",0,"R",0
100654,42,"R",86,"R",1,"R",10,"R",43,"R",32,"R",0,"R",0
100663, 0,"R",2210,"R",648,"R",594,"R",771,"R",197,"R",0,"R",0
100663,10,"R",2210,"R",648,"R",594,"R",771,"R",197,"R",0,"R",0
100663,20,"R",796,"R",527,"R",268,"R",1,"R",0,"R",0,"R",0
100663,30,"R",485,"R",16,"R",101,"R",368,"R",0,"R",0,"R",0
100663,40,"R",929,"R",105,"R",225,"R",402,"R",197,"R",0,"R",0
100663,42,"R",929,"R",105,"R",225,"R",402,"R",197,"R",0,"R",0
100690, 0,"R",30,"R",0,"R",0,"R",0,"R",30,"R",0,"R",0
100690,10,"R",30,"R",0,"R",0,"R",0,"R",30,"R",0,"R",0
100690,40,"R",30,"R",0,"R",0,"R",0,"R",30,"R",0,"R",0
100690,42,"R",30,"R",0,"R",0,"R",0,"R",30,"R",0,"R",0
100706, 0,"R",298,"R",61,"R",86,"R",100,"R",13,"R",38,"R",0
100706,10,"R",298,"R",61,"R",86,"R",100,"R",13,"R",38,"R",0
100706,20,"R",135,"R",61,"R",73,"R",1,"R",0,"R",0,"R",0
100706,30,"R",82,"R",0,"R",9,"R",73,"R",0,"R",0,"R",0
100706,40,"R",81,"R",0,"R",4,"R",26,"R",13,"R",38,"R",0
100706,41,"R",71,"R",0,"R",4,"R",20,"R",13,"R",34,"R",0
100706,42,"R",10,"R",0,"R",0,"R",6,"R",0,"R",4,"R",0
100724, 0,"R",269,"R",59,"R",65,"R",86,"R",49,"R",0,"R",10
100724,10,"R",259,"R",59,"R",65,"R",86,"R",49,"R",0,"R",0
100724,20,"R",114,"R",58,"R",43,"R",13,"R",0,"R",0,"R",0
100724,30,"R",63,"R",1,"R",16,"R",46,"R",0,"R",0,"R",0
100724,40,"R",82,"R",0,"R",6,"R",27,"R",49,"R",0,"R",0
100724,42,"R",82,"R",0,"R",6,"R",27,"R",49,"R",0,"R",0
100724,50,"R",10,"R",0,"R",0,"R",0,"R",0,"R",0,"R",10
100751, 0,"R",1287,"R",313,"R",329,"R",360,"R",272,"R",13,"R",0
100751,10,"R",1287,"R",313,"R",329,"R",360,"R",272,"R",13,"R",0
100751,20,"R",589,"R",295,"R",287,"R",7,"R",0,"R",0,"R",0
100751,30,"R",238,"R",3,"R",11,"R",223,"R",1,"R",0,"R",0
100751,40,"R",460,"R",15,"R",31,"R",130,"R",271,"R",13,"R",0
100751,42,"R",460,"R",15,"R",31,"R",130,"R",271,"R",13,"R",0
100760, 0,"R",56,"R",0,"R",0,"R",0,"R",0,"R",0,"R",56
100760,10,"R",56,"R",0,"R",0,"R",0,"R",0,"R",0,"R",56
100760,20,"R",33,"R",0,"R",0,"R",0,"R",0,"R",0,"R",33
100760,30,"R",20,"R",0,"R",0,"R",0,"R",0,"R",0,"R",20
100760,40,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3
100760,42,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3
100812, 0,"R",84,"R",20,"R",22,"R",41,"R",1,"R",0,"R",0
100812,10,"R",84,"R",20,"R",22,"R",41,"R",1,"R",0,"R",0
100812,20,"R",68,"R",20,"R",22,"R",25,"R",1,"R",0,"R",0
100812,30,"R",16,"R",0,"R",0,"R",16,"R",0,"R",0,"R",0
100830, 0,"R",203,"R",57,"R",61,"R",59,"R",13,"R",13,"R",0
100830,10,"R",203,"R",57,"R",61,"R",59,"R",13,"R",13,"R",0
100830,20,"R",121,"R",57,"R",56,"R",8,"R",0,"R",0,"R",0
100830,30,"R",44,"R",0,"R",4,"R",40,"R",0,"R",0,"R",0
100830,40,"R",38,"R",0,"R",1,"R",11,"R",13,"R",13,"R",0
100830,41,"R",13,"R",0,"R",0,"R",0,"R",13,"R",0,"R",0
100830,42,"R",25,"R",0,"R",1,"R",11,"R",0,"R",13,"R",0
100858, 0,"R",1209,"R",438,"R",406,"R",236,"R",56,"R",72,"R",1
100858,10,"R",1209,"R",438,"R",406,"R",236,"R",56,"R",72,"R",1
100858,20,"R",798,"R",430,"R",362,"R",6,"R",0,"R",0,"R",0
100858,30,"R",210,"R",3,"R",19,"R",188,"R",0,"R",0,"R",0
100858,40,"R",201,"R",5,"R",25,"R",42,"R",56,"R",72,"R",1
100858,43,"R",201,"R",5,"R",25,"R",42,"R",56,"R",72,"R",1
100937, 0,"R",89,"R",37,"R",20,"R",25,"R",4,"R",3,"R",0
100937,10,"R",89,"R",37,"R",20,"R",25,"R",4,"R",3,"R",0
100937,20,"R",57,"R",37,"R",20,"R",0,"R",0,"R",0,"R",0
100937,30,"R",25,"R",0,"R",0,"R",25,"R",0,"R",0,"R",0
100937,40,"R",7,"R",0,"R",0,"R",0,"R",4,"R",3,"R",0
100937,42,"R",7,"R",0,"R",0,"R",0,"R",4,"R",3,"R",0
101028, 0,"R",37,"R",0,"R",0,"R",0,"R",0,"R",0,"R",37
101028,10,"R",37,"R",0,"R",0,"R",0,"R",0,"R",0,"R",37
101028,20,"R",23,"R",0,"R",0,"R",0,"R",0,"R",0,"R",23
101028,30,"R",14,"R",0,"R",0,"R",0,"R",0,"R",0,"R",14
101073, 0,"R",21,"R",1,"R",6,"R",13,"R",1,"R",0,"R",0
101073,10,"R",21,"R",1,"R",6,"R",13,"R",1,"R",0,"R",0
101073,40,"R",21,"R",1,"R",6,"R",13,"R",1,"R",0,"R",0
101073,42,"R",21,"R",1,"R",6,"R",13,"R",1,"R",0,"R",0
101116, 0,"R",10,"R",0,"R",0,"R",3,"R",7,"R",0,"R",0
101116,10,"R",10,"R",0,"R",0,"R",3,"R",7,"R",0,"R",0
101116,40,"R",10,"R",0,"R",0,"R",3,"R",7,"R",0,"R",0
101116,41,"R",10,"R",0,"R",0,"R",3,"R",7,"R",0,"R",0
101143, 0,"R",58,"R",0,"R",0,"R",0,"R",0,"R",0,"R",58
101143,10,"R",58,"R",0,"R",0,"R",0,"R",0,"R",0,"R",58
101143,20,"R",46,"R",0,"R",0,"R",0,"R",0,"R",0,"R",46
101143,30,"R",11,"R",0,"R",0,"R",0,"R",0,"R",0,"R",11
101143,40,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1
101143,42,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1
101161, 0,"R",80,"R",0,"R",0,"R",0,"R",0,"R",0,"R",80
101161,10,"R",80,"R",0,"R",0,"R",0,"R",0,"R",0,"R",80
101161,20,"R",58,"R",0,"R",0,"R",0,"R",0,"R",0,"R",58
101161,30,"R",16,"R",0,"R",0,"R",0,"R",0,"R",0,"R",16
101161,40,"R",6,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6
101161,42,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3
101161,43,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3
101189, 0,"R",112,"R",41,"R",19,"R",37,"R",4,"R",9,"R",2
101189,10,"R",112,"R",41,"R",19,"R",37,"R",4,"R",9,"R",2
101189,20,"R",49,"R",38,"R",8,"R",3,"R",0,"R",0,"R",0
101189,30,"R",40,"R",2,"R",8,"R",28,"R",1,"R",0,"R",1
101189,40,"R",23,"R",1,"R",3,"R",6,"R",3,"R",9,"R",1
101189,42,"R",23,"R",1,"R",3,"R",6,"R",3,"R",9,"R",1
101240, 0,"R",155,"R",0,"R",0,"R",0,"R",0,"R",0,"R",155
101240,10,"R",155,"R",0,"R",0,"R",0,"R",0,"R",0,"R",155
101240,20,"R",120,"R",0,"R",0,"R",0,"R",0,"R",0,"R",120
101240,30,"R",32,"R",0,"R",0,"R",0,"R",0,"R",0,"R",32
101240,40,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3
101240,42,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3
101286, 0,"R",131,"R",0,"R",0,"R",0,"R",0,"R",0,"R",131
101286,10,"R",131,"R",0,"R",0,"R",0,"R",0,"R",0,"R",131
101286,20,"R",102,"R",0,"R",0,"R",0,"R",0,"R",0,"R",102
101286,30,"R",29,"R",0,"R",0,"R",0,"R",0,"R",0,"R",29
101295, 0,"R",128,"R",0,"R",0,"R",0,"R",0,"R",0,"R",128
101295,10,"R",128,"R",0,"R",0,"R",0,"R",0,"R",0,"R",128
101295,20,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"R",100
101295,30,"R",25,"R",0,"R",0,"R",0,"R",0,"R",0,"R",25
101295,40,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3
101295,42,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3
101301, 0,"R",57,"R",0,"R",0,"R",0,"R",0,"R",0,"R",57
101301,10,"R",57,"R",0,"R",0,"R",0,"R",0,"R",0,"R",57
101301,20,"R",26,"R",0,"R",0,"R",0,"R",0,"R",0,"R",26
101301,30,"R",24,"R",0,"R",0,"R",0,"R",0,"R",0,"R",24
101301,40,"R",7,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7
101301,42,"R",7,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7
101365, 0,"R",9,"R",0,"R",7,"R",1,"R",1,"R",0,"R",0
101365,10,"R",9,"R",0,"R",7,"R",1,"R",1,"R",0,"R",0
101365,40,"R",9,"R",0,"R",7,"R",1,"R",1,"R",0,"R",0
101365,41,"R",9,"R",0,"R",7,"R",1,"R",1,"R",0,"R",0
101435, 0,"R",41,"R",8,"R",9,"R",20,"R",3,"R",0,"R",1
101435,10,"R",41,"R",8,"R",9,"R",20,"R",3,"R",0,"R",1
101435,20,"R",15,"R",8,"R",7,"R",0,"R",0,"R",0,"R",0
101435,30,"R",16,"R",0,"R",1,"R",15,"R",0,"R",0,"R",0
101435,40,"R",10,"R",0,"R",1,"R",5,"R",3,"R",0,"R",1
101435,41,"R",2,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0
101435,42,"R",8,"R",0,"R",1,"R",3,"R",3,"R",0,"R",1
101453, 0,"R",6,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6
101453,10,"R",6,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6
101453,40,"R",6,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6
101453,42,"R",6,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6
101462, 0,"R",31,"R",0,"R",0,"R",0,"R",0,"R",0,"R",31
101462,10,"R",31,"R",0,"R",0,"R",0,"R",0,"R",0,"R",31
101462,20,"R",18,"R",0,"R",0,"R",0,"R",0,"R",0,"R",18
101462,30,"R",9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9
101462,40,"R",4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4
101462,42,"R",4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4
101471, 0,"R",38,"R",0,"R",0,"R",0,"R",0,"R",0,"R",38
101471,10,"R",38,"R",0,"R",0,"R",0,"R",0,"R",0,"R",38
101471,20,"R",23,"R",0,"R",0,"R",0,"R",0,"R",0,"R",23
101471,30,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1
101471,40,"R",14,"R",0,"R",0,"R",0,"R",0,"R",0,"R",14
101471,42,"R",13,"R",0,"R",0,"R",0,"R",0,"R",0,"R",13
101471,43,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1
101480, 0,"R",320,"R",93,"R",71,"R",65,"R",91,"R",0,"R",0
101480,10,"R",320,"R",93,"R",71,"R",65,"R",91,"R",0,"R",0
101480,20,"R",143,"R",85,"R",54,"R",4,"R",0,"R",0,"R",0
101480,30,"R",90,"R",8,"R",17,"R",61,"R",4,"R",0,"R",0
101480,40,"R",87,"R",0,"R",0,"R",0,"R",87,"R",0,"R",0
101480,42,"R",87,"R",0,"R",0,"R",0,"R",87,"R",0,"R",0
101499, 0,"R",35,"R",0,"R",0,"R",0,"R",0,"R",0,"R",35
101499,10,"R",35,"R",0,"R",0,"R",0,"R",0,"R",0,"R",35
101499,20,"R",24,"R",0,"R",0,"R",0,"R",0,"R",0,"R",24
101499,30,"R",11,"R",0,"R",0,"R",0,"R",0,"R",0,"R",11
101505, 0,"R",145,"R",0,"R",0,"R",0,"R",0,"R",0,"R",145
101505,10,"R",145,"R",0,"R",0,"R",0,"R",0,"R",0,"R",145
101505,20,"R",119,"R",0,"R",0,"R",0,"R",0,"R",0,"R",119
101505,30,"R",26,"R",0,"R",0,"R",0,"R",0,"R",0,"R",26
101514, 0,"R",143,"R",0,"R",0,"R",0,"R",0,"R",0,"R",143
101514,10,"R",143,"R",0,"R",0,"R",0,"R",0,"R",0,"R",143
101514,20,"R",118,"R",0,"R",0,"R",0,"R",0,"R",0,"R",118
101514,30,"R",23,"R",0,"R",0,"R",0,"R",0,"R",0,"R",23
101514,40,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2
101514,42,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2
101541, 0,"R",26,"R",3,"R",7,"R",15,"R",1,"R",0,"R",0
101541,10,"R",26,"R",3,"R",7,"R",15,"R",1,"R",0,"R",0
101541,20,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0
101541,30,"R",24,"R",1,"R",7,"R",15,"R",1,"R",0,"R",0
101569, 0,"R",79,"R",0,"R",0,"R",0,"R",0,"R",0,"R",79
101569,10,"R",79,"R",0,"R",0,"R",0,"R",0,"R",0,"R",79
101569,20,"R",65,"R",0,"R",0,"R",0,"R",0,"R",0,"R",65
101569,30,"R",14,"R",0,"R",0,"R",0,"R",0,"R",0,"R",14
101587, 0,"R",121,"R",16,"R",23,"R",59,"R",18,"R",5,"R",0
101587,10,"R",121,"R",16,"R",23,"R",59,"R",18,"R",5,"R",0
101587,20,"R",47,"R",15,"R",21,"R",11,"R",0,"R",0,"R",0
101587,30,"R",40,"R",1,"R",2,"R",37,"R",0,"R",0,"R",0
101587,40,"R",34,"R",0,"R",0,"R",11,"R",18,"R",5,"R",0
101587,42,"R",34,"R",0,"R",0,"R",11,"R",18,"R",5,"R",0
101602, 0,"R",56,"R",0,"R",0,"R",0,"R",0,"R",0,"R",56
101602,10,"R",56,"R",0,"R",0,"R",0,"R",0,"R",0,"R",56
101602,20,"R",47,"R",0,"R",0,"R",0,"R",0,"R",0,"R",47
101602,30,"R",7,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7
101602,40,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2
101602,42,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2
